,source_IP,destination_IP,source_MAC,destination_MAC,source_Port,destination_Port
0,10.0.2.15,172.217.7.42,525400123502,080027c52b39,443,35926
1,172.217.7.42,10.0.2.15,080027c52b39,525400123502,35926,443
2,127.0.0.53,127.0.0.1,000000000000,000000000000,57340,53
3,127.0.0.53,127.0.0.1,000000000000,000000000000,57340,53
4,10.48.138.135,10.0.2.15,080027c52b39,525400123502,50661,53
5,127.0.0.53,127.0.0.1,000000000000,000000000000,57340,53
6,127.0.0.53,127.0.0.1,000000000000,000000000000,57340,53
7,10.48.138.135,10.0.2.15,080027c52b39,525400123502,40283,53
8,10.0.2.15,10.48.138.135,525400123502,080027c52b39,53,50661
9,10.0.2.15,10.48.138.135,525400123502,080027c52b39,53,40283
10,127.0.0.1,127.0.0.53,000000000000,000000000000,53,57340
11,127.0.0.1,127.0.0.53,000000000000,000000000000,53,57340
12,127.0.0.1,127.0.0.53,000000000000,000000000000,53,57340
13,127.0.0.1,127.0.0.53,000000000000,000000000000,53,57340
14,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
15,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
16,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
17,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
18,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
19,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
20,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
21,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
22,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
23,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
24,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
25,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
26,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
27,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
28,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
29,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
30,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
31,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
32,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
33,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
34,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
35,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
36,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
37,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
38,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
39,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
40,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
41,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
42,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
43,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
44,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
45,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
46,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
47,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
48,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
49,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
50,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
51,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
52,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
53,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
54,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
55,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
56,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
57,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
58,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
59,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
60,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
61,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
62,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
63,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
64,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
65,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
66,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
67,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
68,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
69,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
70,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
71,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
72,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
73,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
74,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
75,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
76,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
77,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
78,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
79,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
80,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
81,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
82,35.201.97.85,10.0.2.15,080027c52b39,525400123502,52092,443
83,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
84,10.0.2.15,35.201.97.85,525400123502,080027c52b39,443,52092
